customer_id,contract_type,monthly_charges,tenure,total_charges,Churn,charge_change_proxy,tickets_last_7_days,tickets_last_30_days,tickets_last_90_days,complaint_ticket,negative_ratio,sentiment_score_mean,ticket_type_count_billing,ticket_type_count_complaint,ticket_type_count_general,ticket_type_count_service_request,ticket_type_count_technical,mean_days_between_tickets
7590-VHVEG,Month-to-month,29.85,1,29.85,No,0.0,0.0,1.0,3.0,0.0,0.0,0.3333333333333333,0.0,0.0,3.0,0.0,0.0,27.99999999992477
5575-GNVDE,One year,56.95,34,1889.5,No,1.3764705882352999,0.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,22.99999999994213
3668-QPYBK,Month-to-month,53.85,2,108.15,Yes,-0.22500000000000142,1.0,3.0,7.0,1.0,0.5714285714285714,-0.42857142857142855,1.0,2.0,1.0,2.0,1.0,13.666666666693674
7795-CFOCW,One year,42.3,45,1840.75,No,1.3944444444444386,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,67.00000000005787
9237-HQITU,Month-to-month,70.7,2,151.65,Yes,-5.125,1.0,2.0,4.0,1.0,0.25,0.0,1.0,1.0,0.0,0.0,2.0,25.666666666678243
9305-CDSKC,Month-to-month,99.65,8,820.5,Yes,-2.9124999999999943,0.0,2.0,10.0,1.0,0.8,-0.7,1.0,8.0,1.0,0.0,0.0,8.666666666674383
1452-KIOVK,Month-to-month,89.1,22,1949.4,No,0.49090909090908497,0.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,49.00000000003472
6713-OKOMC,Month-to-month,29.75,10,301.9,No,-0.4399999999999977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7892-POOKP,Month-to-month,104.8,28,3046.05,Yes,-3.9875000000000114,0.0,2.0,5.0,1.0,0.6,-0.6,0.0,2.0,2.0,0.0,1.0,17.24999999997396
6388-TABGU,One year,56.15,62,3487.95,No,-0.10725806451613096,0.0,0.0,2.0,0.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,22.999999999965276
9763-GRSKD,Month-to-month,49.95,13,587.45,No,4.761538461538464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7469-LKBCI,Two year,18.95,16,326.8,No,-1.4750000000000014,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8091-TTVAX,One year,100.35,58,5681.1,No,2.3999999999999915,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,0.0
0280-XJGEX,Month-to-month,103.7,49,5036.3,Yes,0.9183673469387799,0.0,2.0,6.0,1.0,0.6666666666666666,-0.5,1.0,3.0,1.0,0.0,1.0,12.200000000006947
5129-JLPIS,Month-to-month,105.5,25,2686.05,No,-1.9420000000000073,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0
3655-SNQYZ,Two year,113.25,69,7895.15,No,-1.1724637681159322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8191-XWSZG,One year,20.65,52,1022.95,No,0.9778846153846139,0.0,1.0,2.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,60.0000000000463
9959-WOFKT,Two year,106.7,71,7382.25,No,2.7246478873239397,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4190-MFLUW,Month-to-month,55.2,10,528.35,Yes,2.365000000000002,0.0,1.0,6.0,1.0,0.5,-0.16666666666666666,1.0,2.0,1.0,1.0,1.0,10.799999999993053
4183-MYFRB,Month-to-month,90.05,21,1862.9,No,1.3404761904761813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8779-QRDMV,Month-to-month,39.65,1,39.65,Yes,0.0,1.0,3.0,6.0,1.0,0.6666666666666666,-0.5,1.0,3.0,0.0,1.0,1.0,13.80000000003009
1680-VDCWW,One year,19.8,12,202.25,No,2.945833333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1066-JKSGK,Month-to-month,20.15,1,20.15,Yes,0.0,1.0,5.0,9.0,1.0,0.5555555555555556,-0.1111111111111111,0.0,7.0,0.0,1.0,1.0,10.999999999982638
3638-WEABW,Two year,59.9,58,3505.1,No,-0.5327586206896555,0.0,1.0,2.0,0.0,0.0,0.5,2.0,0.0,0.0,0.0,0.0,40.00000000003472
6322-HRPFA,Month-to-month,59.6,49,2970.3,No,-1.0183673469387813,0.0,1.0,2.0,0.0,0.5,-0.5,0.0,0.0,1.0,1.0,0.0,48.99999999996528
6865-JZNKO,Month-to-month,55.3,30,1530.6,No,4.280000000000001,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
